SpecFile, BM1, BM2, BM3
./spec/helpers/controlled_vocabulary_terms_helper_spec.rb, 22, 23, 23
./spec/helpers/geographic_areas_helper_spec.rb, 23, 23, 23
./spec/helpers/loans_helper_spec.rb, 23, 23, 22
./spec/helpers/namespaces_helper_spec.rb, 23, 23, 23
./spec/helpers/otus_helper_spec.rb, 23, 23, 23
./spec/helpers/people_helper_spec.rb, 23, 23, 23
./spec/helpers/preparation_types_helper_spec.rb, 22, 23, 23
./spec/helpers/projects_helper_spec.rb, 23, 23, 23
./spec/helpers/repositories_helper_spec.rb, 23, 23, 23
./spec/helpers/serials_helper_spec.rb, 22, 23, 23
./spec/helpers/tags_helper_spec.rb, 23, 23, 23
./spec/helpers/tasks/collecting_events/parse/stepwise/lat_long_helper_spec.rb, 23, 23, 23
./spec/helpers/taxon_names_helper_spec.rb, 24, 24, 24
./spec/helpers/vendor/shortener_helper_spec.rb, 23, 23, 23
./spec/helpers/workbench/object_helper_spec.rb, 23, 23, 23
./spec/lib/application_enumeration_spec.rb, 21, 20, 21
./spec/lib/batch_load/import/collecting_events_for_gpx_spec.rb, 24, 25, 24
./spec/lib/batch_load/import/collecting_events_spec.rb, 21, 20, 21
./spec/lib/batch_load/import/collection_object_from_strings_spec.rb, 25, 26, 26
./spec/lib/batch_load/import/collection_objects_spec.rb, 70, 69, 69
./spec/lib/batch_load/import/da_for_otus_spec.rb, 40, 40, 39
./spec/lib/batch_load/import/dwca_spec.rb, 42, 41, 42
./spec/lib/batch_load/import/otus_spec.rb, 23, 24, 23
./spec/lib/batch_load/import/taxonifi_to_taxonoworks_spec.rb, 21, 20, 21
./spec/lib/dwca/gbif_profile/core_taxon_spec.rb, 32, 32, 32
./spec/lib/dwca/generator_spec.rb, 20, 21, 20
./spec/lib/dwca/import_spec.rb, 22, 21, 22
./spec/lib/dwca/packer_spec.rb, 27, 27, 26
./spec/lib/gis/geo_json_spec.rb, 30, 30, 30
./spec/lib/housekeeping/project_spec.rb, 23, 23, 23
./spec/lib/housekeeping_spec.rb, 21, 21, 20
./spec/lib/housekeeping/timestamps_spec.rb, 21, 21, 21
./spec/lib/housekeeping/user_spec.rb, 24, 23, 23
./spec/lib/latin_spec.rb, 21, 21, 20
./spec/lib/material_spec.rb, 25, 26, 25
./spec/lib/queries/biological_association/filter_spec.rb, 24, 23, 24
./spec/lib/queries/citation/filter_spec.rb, 23, 23, 23
./spec/lib/queries/collecting_event/autocomplete_spec.rb, 23, 24, 23
./spec/lib/queries/collecting_event/filter_spec.rb, 24, 24, 24
./spec/lib/queries/collection_object/filter_spec.rb, 59, 59, 60
./spec/lib/queries/confidence/filter_spec.rb, 23, 23, 22
./spec/lib/queries/controlled_vocabulary_term/autocomplete_spec.rb, 24, 23, 24
./spec/lib/queries/georeference/filter_spec.rb, 23, 24, 23
./spec/lib/queries/identifier/autocomplete_spec.rb, 24, 24, 24
./spec/lib/queries/identifier/filter_spec.rb, 24, 25, 25
./spec/lib/queries/otu/autocomplete_spec.rb, 23, 23, 22
./spec/lib/queries/otu/filter_spec.rb, 82, 80, 81
./spec/lib/queries/person/autocomplete_spec.rb, 24, 25, 24
./spec/lib/queries/person/filter_spec.rb, 27, 27, 27
./spec/lib/queries/serial/autocomplete_spec.rb, 24, 23, 24
./spec/lib/queries/source/autocomplete_spec.rb, 44, 43, 44
./spec/lib/queries/source/filter_spec.rb, 24, 24, 24
./spec/lib/queries/taxon_determination/filter_spec.rb, 24, 24, 24
./spec/lib/queries/taxon_name/autocomplete_spec.rb, 38, 37, 37
./spec/lib/random_token_spec.rb, 21, 20, 21
./spec/lib/ranks_spec.rb, 21, 22, 21
./spec/lib/settings_spec.rb, 21, 21, 21
./spec/lib/soft_validation/soft_validation_method_spec.rb, 20, 21, 21
./spec/lib/soft_validation/soft_validation_spec.rb, 20, 21, 20
./spec/lib/soft_validation/soft_validations_spec.rb, 21, 20, 21
./spec/lib/soft_validation_spec.rb, 21, 21, 20
./spec/lib/user_tasks_spec.rb, 22, 21, 21
./spec/lib/utilities/dates_spec.rb, 21, 21, 21
./spec/lib/utilities/files_spec.rb, 21, 21, 20
./spec/lib/utilities/geo_spec.rb, 21, 22, 21
./spec/lib/utilities/logic_spec.rb, 21, 20, 21
./spec/lib/utilities/net_spec.rb, 22, 23, 22
./spec/lib/vendor/biodiversity_spec.rb, 45, 45, 45
./spec/lib/vendor/paperclip_spec.rb, 23, 24, 23
./spec/lib/vendor/ref2bibtex_spec.rb, 24, 24, 24
./spec/mailers/user_mailer_spec.rb, 22, 23, 23
./spec/models/alternate_value_spec.rb, 23, 24, 23
./spec/models/alternate_value/translation_spec.rb, 23, 23, 23
./spec/models/asserted_distribution_spec.rb, 27, 26, 27
./spec/models/attribution_spec.rb, 23, 23, 23
./spec/models/biocuration_classification_spec.rb, 23, 24, 23
./spec/models/biocuration_class_spec.rb, 24, 23, 23
./spec/models/biocuration_group_spec.rb, 23, 23, 23
./spec/models/biological_associations_biological_associations_graph_spec.rb, 23, 23, 23
./spec/models/biological_associations_graph_spec.rb, 23, 23, 23
./spec/models/biological_association_spec.rb, 24, 23, 23
./spec/models/biological_property_spec.rb, 23, 23, 23
./spec/models/biological_relationship_spec.rb, 23, 23, 23
./spec/models/biological_relationship_type_spec.rb, 23, 23, 23
./spec/models/character_state_spec.rb, 24, 23, 23
./spec/models/citation_spec.rb, 27, 27, 26
./spec/models/citation_topic_spec.rb, 24, 24, 24
./spec/models/collecting_event/dates_spec.rb, 24, 24, 24
./spec/models/collecting_event/geo_spec.rb, 55, 53, 55
./spec/models/collecting_event_spec.rb, 23, 25, 24
./spec/models/collection_object/biological_collection_object_spec.rb, 28, 27, 27
./spec/models/collection_object_observation_spec.rb, 23, 22, 23
./spec/models/collection_object_spec.rb, 46, 46, 45
./spec/models/collection_profile_spec.rb, 23, 24, 23
./spec/models/collector_spec.rb, 21, 20, 21
./spec/models/combination/combination_spec.rb, 76, 77, 77
./spec/models/combination_spec.rb, 85, 85, 85
./spec/models/common_name_spec.rb, 23, 23, 23
./spec/models/concerns/shared/alternate_values_spec.rb, 24, 23, 24
./spec/models/concerns/shared/attribute_annotations_spec.rb, 23, 23, 23
./spec/models/concerns/shared/attributions_spec.rb, 24, 24, 23
./spec/models/concerns/shared/citations_spec.rb, 38, 39, 37
./spec/models/concerns/shared/confidences_spec.rb, 23, 24, 24
./spec/models/concerns/shared/containable_spec.rb, 23, 24, 23
./spec/models/concerns/shared/data_attributes_spec.rb, 24, 23, 23
./spec/models/concerns/shared/depictions_spec.rb, 25, 24, 24
./spec/models/concerns/shared/documentation_spec.rb, 24, 24, 24
./spec/models/concerns/shared/has_papertail_spec.rb, 23, 23, 23
./spec/models/concerns/shared/has_roles_spec.rb, 23, 24, 23
./spec/models/concerns/shared/identifiers_spec.rb, 24, 23, 24
./spec/models/concerns/shared/is_data/annotation_spec.rb, 23, 23, 23
./spec/models/concerns/shared/is_data/pinnable_spec.rb, 24, 23, 24
./spec/models/concerns/shared/is_data_spec.rb, 23, 23, 24
./spec/models/concerns/shared/is_dwc_occurrence_spec.rb, 23, 24, 23
./spec/models/concerns/shared/labels_spec.rb, 23, 23, 24
./spec/models/concerns/shared/loanable_spec.rb, 23, 23, 23
./spec/models/concerns/shared/notes_spec.rb, 23, 24, 23
./spec/models/concerns/shared/origin_relationship_spec.rb, 23, 24, 23
./spec/models/concerns/shared/polymorphic_annotator_spec.rb, 23, 24, 23
./spec/models/concerns/shared/protocol_relationships_spec.rb, 23, 23, 23
./spec/models/concerns/shared/random_token_fields_spec.rb, 23, 23, 23
./spec/models/concerns/shared/tags_spec.rb, 23, 24, 23
./spec/models/confidence_level_spec.rb, 25, 24, 24
./spec/models/confidence_spec.rb, 24, 23, 24
./spec/models/container_item_spec.rb, 24, 25, 25
./spec/models/container_spec.rb, 25, 25, 26
./spec/models/content_spec.rb, 24, 23, 24
./spec/models/controlled_vocabulary_term_spec.rb, 24, 23, 23
./spec/models/data_attribute_spec.rb, 25, 24, 24
./spec/models/depiction_spec.rb, 30, 30, 30
./spec/models/derived_collection_object_spec.rb, 23, 23, 24
./spec/models/descriptor/continuous_spec.rb, 23, 23, 24
./spec/models/descriptor/gene/logic_spec.rb, 24, 24, 24
./spec/models/descriptor/gene/sequences_spec.rb, 26, 27, 27
./spec/models/descriptor/gene_spec.rb, 24, 24, 24
./spec/models/descriptor/presence_spec.rb, 21, 21, 20
./spec/models/descriptor/qualitative_spec.rb, 24, 23, 23
./spec/models/descriptor_spec.rb, 23, 24, 23
./spec/models/determiner_spec.rb, 23, 23, 23
./spec/models/documentation_spec.rb, 23, 24, 23
./spec/models/document_spec.rb, 25, 25, 25
./spec/models/dwc_occurrence_spec.rb, 25, 25, 24
./spec/models/extract_spec.rb, 24, 23, 24
./spec/models/gene_attribute_spec.rb, 23, 23, 24
