taxonID,typeStatus,scientificName,sex,locality,verbatimLatitude,verbatimLongitude,institutionCode,catalogNumber,recordedBy,verbatimEventDate,typeDesignatedBy
1157906,"typeGenus","Platyperlidae† Sinitshenkova, 1982",,,,,,,,,"Sinitshenkova. 1982. Systematic position of Jurassic Plecoptera Mesoleuctra gracilis Br., Redt., Gangl. and Platyperla platypoda Br., Redt., Gangl. and their stratigraphic range. Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Geologicheskii (Byul.Moskov.Obshch.Ispyt.Prir.Otd.Geol.) 57(4):112-120"
1157918,"typeGenus","Styloperlinae Wu, 1935",,,,,,,,,"Wu, Chenfu F. 1935. New species of stoneflies from east and south China. Bulletin of the Peking Society of Natural History (Bull. Pek. Soc. Nat. Hist.) 9(3):227-243"
1157931,"typeGenus","Peltoperlidae Claassen, 1931",,,,,,,,,"Claassen. 1931. Plecoptera nymphs of America (north of Mexico), Springfield, Illinois, Baltimore, Maryland 1-199"
1157932,"typeGenus","Microperlinae Uchida & Isobe, 1989",,,,,,,,,"Uchida & Isobe. 1989. Styloperlidae, stat. nov. and Microperlinae, subfam. nov. with a revised system of the family group Systellognatha (Plecoptera). Spixiana 12(2):145-182"
1158028,"typeGenus","Pteronarcidae Newman, 1853",,,,,,,,,"Newman. 1853. Proposed division of Neuroptera into two classes. Art. XXIX. The Zoologist: A Popular Miscellany of Natural History (Zoologist) 11(Appendix):clxxxii-cciv"
1152750,"typeSpecies","Thaumatophora pronotalis Riek, 1976",,,,,,,,,"Riek. 1976. Fossil insects from the Middle Ecca (Lower Permian) of southern Africa. Paleontogia Africana (Paleont.Afr.) 19:147"
1152752,"typeSpecies","Marciperla curta Lin, 1986",,,,,,,,,"Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):69"
1152756,"typeSpecies","Idiastogyia fatisca Lin, 1986",,,,,,,,,"Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):68"
1152759,"typeSpecies","Perlapsocus formosoi Pinto & Pineiro, 2000",,,,,,,,,"Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1):94"
1152761,"typeSpecies","Kaptsheranga porrecta Sinitshenkova, 1985",,,,,,,,,"Sinitshenkova. 1985. [Jurassic stoneflies of south Siberia and adjacent territories (Perlida = Plecoptera).]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 211:169"
1152779,"typeSpecies","Gulou carpenteri Béthoux, Cui, Kondratieff, Stark & Ren, 2011",,,,,,,,,"Béthoux, Cui, Kondratieff, Stark & Ren. 2011. At last, a Pennsylvanian stem-stonefly (Plecoptera) discovered. BMC Evolutionary Biology 11(248):2"
1152781,"typeSpecies","Mesonotoperla sinuata Riek, 1954",,,,,,,,,"Riek. 1954. Further Triassic insects from Brookvale, N.S.W. (Orders Orthoptera Saltatoria, Protorthoptera, Perlaria). Records of the Australian Museum (Rec.Aust.Mus.) 23:167"
1152786,"typeSpecies","Klapopteryx barilochensis Illies, 1960",,,,,,,,,"McLellan. 2001. A revision of South American Austroperlidae (Plecoptera). Aquatic Insects 23:33"
1152788,"typeSpecies","Pteronarcella atra Šámal, 1921",,,,,,,,,"Illies. 1969. Revision der Plecopteren familie Austroperlidae. Entomologisk Tidskrift (Entomol.Tidskr.) 90:14"
1152791,"typeSpecies","Pseudoheptura picta Riek, 1973",,,,,,,,,"Riek. 1973. The genera of Australian Austroperlidae (Insecta: Plecoptera). Australian Journal of Entomology (Aust.J.Entomol.) 12(4):295"
1152793,"typeSpecies","Austroheptura neboissi Illies, 1969",,,,,,,,,"Illies. 1969. Revision der Plecopteren familie Austroperlidae. Entomologisk Tidskrift (Entomol.Tidskr.) 90:26"
1152797,"typeSpecies","Austropentura victoria Illies, 1969",,,,,,,,,"Illies. 1969. Revision der Plecopteren familie Austroperlidae. Entomologisk Tidskrift (Entomol.Tidskr.) 90:36"
1152800,"typeSpecies","Chloroperla cyrene Newman, 1845",,,,,,,,,"Needham. 1905. New genera and species of Perlidae. Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 18:853"
